Str	subst	g	"aaa".subst("a","b",:g) ne "aaa".subst("a","b")
Str	subst	global	"aaa".subst("a","b",:global) ne "aaa".subst("a","b")
Str	subst	ii	"ABC".subst("ABC","xyz",:ii) ne "ABC".subst("ABC","xyz")
Str	subst	samecase	"ABC".subst("ABC","xyz",:samecase) ne "ABC".subst("ABC","xyz")
Str	subst	ss	"a  b".subst("a  b","x y",:ss) ne "a  b".subst("a  b","x y")
Str	subst	samespace	"a  b".subst("a  b","x y",:samespace) ne "a  b".subst("a  b","x y")
Str	subst	mm	"ǟb".subst("ǟb","xy",:mm) ne "ǟb".subst("ǟb","xy")
Str	subst	samemark	"ǟb".subst("ǟb","xy",:samemark) ne "ǟb".subst("ǟb","xy")
Str	subst	s	"A  B".subst(/"A  B"/,"x y",:ii,:s) ne "A  B".subst(/"A  B"/,"x y",:ii)
Str	subst	sigspace	"A  B".subst(/"A  B"/,"x y",:ii,:sigspace) ne "A  B".subst(/"A  B"/,"x y",:ii)
Str	subst	x	"aaa".subst(/a/,"b",:x(2)) ne "aaa".subst(/a/,"b")
Str	subst	nth	"aaa".subst(/a/,"b",:nth(2)) ne "aaa".subst(/a/,"b")
Str	subst	st	"aaa".subst(/a/,"b",:st(2)) ne "aaa".subst(/a/,"b")
Str	subst	nd	"aaa".subst(/a/,"b",:nd(2)) ne "aaa".subst(/a/,"b")
Str	subst	rd	"aaaa".subst(/a/,"b",:rd(3)) ne "aaaa".subst(/a/,"b")
Str	subst	th	"aaaa".subst(/a/,"b",:th(4)) ne "aaaa".subst(/a/,"b")
Str	subst	p	"aaa".subst(/a/,"b",:p(1)) ne "aaa".subst(/a/,"b")
Str	subst	pos	"aaa".subst(/a/,"b",:pos(1)) ne "aaa".subst(/a/,"b")
Str	subst	c	"aaa".subst(/a/,"b",:c(1)) ne "aaa".subst(/a/,"b")
Str	subst	continue	"aaa".subst(/a/,"b",:continue(1)) ne "aaa".subst(/a/,"b")
Str	subst	as	(try "aaa".subst(/a/,"b",:g,:as(Str))) === Nil
Str	subst	ov	(try "aaaa".subst(/aa/,"b",:ov)) === Nil
Str	subst	ex	(try "aaaa".subst(/a+/,"b",:ex)) === Nil
Str	subst	overlap	"aaaa".subst(/aa/,"b",:overlap) ne "aaaa".subst(/aa/,"b")
Str	subst	exhaustive	(try "aaaa".subst(/a+/,"b",:exhaustive)) === Nil
Str	subst	i	"AAA".subst(/a/,"b",:i) ne "AAA".subst(/a/,"b")
Str	subst	ignorecase	"AAA".subst(/a/,"b",:ignorecase) ne "AAA".subst(/a/,"b")
